COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
4204608;SC;Criciúma;219393;>100k;
1505536;PA;Parauapebas;218787;>100k;
5212501;GO;Luziânia;214645;>100k;
2914802;BA;Itabuna;214123;>100k;
4315602;RS;Rio Grande;212881;>100k;
2312908;CE;Sobral;212437;>100k;
4300604;RS;Alvorada;212352;>100k;
3201209;ES;Cachoeiro de Itapemirim;212172;>100k;
2602902;PE;Cabo de Santo Agostinho;210796;>100k;
3300100;RJ;Angra dos Reis;210171;>100k;
3543907;SP;Rio Claro;209548;>100k;
4314100;RS;Passo Fundo;206103;>100k;
1502400;PA;Castanhal;205667;>100k;
2919207;BA;Lauro de Freitas;204669;>100k;
3502804;SP;Araçatuba;199210;>100k;
3515707;SP;Ferraz de Vasconcelos;198661;>100k;
3545803;SP;Santa Bárbara d'Oeste;195278;>100k;
3303401;RJ;Nova Friburgo;191664;>100k;
2804805;SE;Nossa Senhora do Socorro;187733;>100k;
1702109;TO;Araguaína;186245;>100k;
3305802;RJ;Teresópolis;185820;>100k;
3300407;RJ;Barra Mansa;185237;>100k;
4208906;SC;Jaraguá do Sul;184579;>100k;
3129806;MG;Ibirité;184030;>100k;
4109401;PR;Guarapuava;183755;>100k;
2111201;MA;São José de Ribamar;180345;>100k;
3203205;ES;Linhares;179755;>100k;
3522208;SP;Itapecerica da Serra;179574;>100k;
3516309;SP;Francisco Morato;179372;>100k;
4211900;SC;Palhoça;178679;>100k;
3523909;SP;Itu;177150;>100k;
3302858;RJ;Mesquita;177016;>100k;
5221858;GO;Valparaíso de Goiás;175720;>100k;
3507605;SP;Bragança Paulista;172346;>100k;
3538006;SP;Pindamonhangaba;171885;>100k;
2112209;MA;Timon;171317;>100k;
3151800;MG;Poços de Caldas;169838;>100k;
3302700;RJ;Maricá;167668;>100k;
3522307;SP;Itapetininga;167106;>100k;
2103000;MA;Caxias;166159;>100k;
2931350;BA;Teixeira de Freitas;164290;>100k;
3303203;RJ;Nilópolis;162893;>100k;
3548807;SP;São Caetano do Sul;162763;>100k;
1500107;PA;Abaetetuba;160439;>100k;
2603454;PE;Camaragibe;159945;>100k;
3304524;RJ;Rio das Ostras;159529;>100k;
3516408;SP;Franco da Rocha;158438;>100k;
2903201;BA;Barreiras;158432;>100k;
2913606;BA;Ilhéus;157639;>100k;
4118204;PR;Paranaguá;157378;>100k;
4209300;SC;Lages;157158;>100k;
2918001;BA;Jequié;156277;>100k;
3148004;MG;Patos de Minas;154641;>100k;
3152501;MG;Pouso Alegre;154293;>100k;
3530706;SP;Mogi Guaçu;154146;>100k;
2207702;PI;Parnaíba;153863;>100k;
3525300;SP;Jaú;153463;>100k;
2900702;BA;Alagoinhas;153023;>100k;
