COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
2614808;PE;Tacaratu;26439;>10k;
2610202;PE;Panelas;26438;>10k;
1709302;TO;Guaraí;26403;>10k;
5001003;MS;Aparecida do Taboado;26386;>10k;
5005004;MS;Jardim;26375;>10k;
2907301;BA;Castro Alves;26369;>10k;
4311007;RS;Jaguarão;26327;>10k;
2611507;PE;Quipapá;26309;>10k;
4102109;PR;Astorga;26304;>10k;
2607505;PE;Itaíba;26268;>10k;
3553401;SP;Tanabi;26231;>10k;
2908606;BA;Conde;26223;>10k;
3205069;ES;Venda Nova do Imigrante;26204;>10k;
2313203;CE;Tamboril;26199;>10k;
4309407;RS;Guaporé;26199;>10k;
2305605;CE;Independência;26196;>10k;
4319505;RS;São Sebastião do Caí;26161;>10k;
1503077;PA;Garrafão do Norte;26155;>10k;
2105427;MA;Itinga do Maranhão;26134;>10k;
2112456;MA;Turilândia;26112;>10k;
2911105;BA;Formosa do Rio Preto;26111;>10k;
2608750;PE;Lagoa Grande;26090;>10k;
3203403;ES;Mimoso do Sul;26079;>10k;
5203500;GO;Bom Jesus de Goiás;26069;>10k;
2111102;MA;São João dos Patos;26063;>10k;
2516003;PB;Solânea;26051;>10k;
4306908;RS;Encruzilhada do Sul;26039;>10k;
2309458;CE;Ocara;25958;>10k;
1507151;PA;São Domingos do Araguaia;25945;>10k;
3538907;SP;Pirajuí;25939;>10k;
2110104;MA;Santa Quitéria do Maranhão;25884;>10k;
3113206;MG;Carandaí;25831;>10k;
2807600;SE;Umbaúba;25800;>10k;
4119400;PR;Piraí do Sul;25779;>10k;
2921203;BA;Miguel Calmon;25771;>10k;
1505031;PA;Novo Progresso;25769;>10k;
1507904;PA;Soure;25752;>10k;
2914406;BA;Iraquara;25728;>10k;
3502200;SP;Angatuba;25724;>10k;
3537404;SP;Pereira Barreto;25685;>10k;
3162005;MG;São Gonçalo do Sapucaí;25670;>10k;
2709400;AL;Viçosa;25655;>10k;
3531407;SP;Monte Aprazível;25651;>10k;
3302908;RJ;Miguel Pereira;25622;>10k;
4208500;SC;Ituporanga;25619;>10k;
2303808;CE;Cedro;25612;>10k;
2918357;BA;João Dourado;25606;>10k;
3507803;SP;Brodowski;25605;>10k;
3540754;SP;Potim;25603;>10k;
5211206;GO;Itapuranga;25597;>10k;
2703106;AL;Igaci;25596;>10k;
2201903;PI;Bom Jesus;25584;>10k;
4103602;PR;Cambará;25569;>10k;
2609006;PE;Macaparana;25565;>10k;
3303955;RJ;Pinheiral;25563;>10k;
2108256;MA;Pedro do Rosário;25560;>10k;
3135803;MG;Jequitinhonha;25555;>10k;
3304151;RJ;Quissamã;25535;>10k;
2205805;PI;Luzilândia;25521;>10k;
3129509;MG;Ibiá;25511;>10k;
2104677;MA;Governador Nunes Freire;25502;>10k;
2110039;MA;Santa Luzia do Paruá;25487;>10k;
5004502;MS;Itaporã;25478;>10k;
4203956;SC;Capivari de Baixo;25477;>10k;
3169604;MG;Tupaciguara;25466;>10k;
4304663;RS;Capão do Leão;25462;>10k;
2925808;BA;Queimadas;25428;>10k;
2312700;CE;Senador Pompeu;25418;>10k;
2504603;PB;Conde;25341;>10k;
5000708;MS;Anastácio;25336;>10k;
2707107;AL;Piranhas;25324;>10k;
5007109;MS;Ribas do Rio Pardo;25310;>10k;
3124203;MG;Espera Feliz;25287;>10k;
2600302;PE;Agrestina;25240;>10k;
5217302;GO;Pirenópolis;25218;>10k;
2705002;AL;Mata Grande;25200;>10k;
3109303;MG;Buritis;25179;>10k;
2305308;CE;Ibiapina;25165;>10k;
2924801;BA;Piritiba;25162;>10k;
1506609;PA;Santa Maria do Pará;25127;>10k;
2304251;CE;Cruz;25121;>10k;
3101102;MG;Aimorés;25116;>10k;
3512407;SP;Cordeirópolis;25116;>10k;
3501301;SP;Álvares Machado;25078;>10k;
4310801;RS;Ivoti;25068;>10k;
3162401;MG;São João da Ponte;25033;>10k;
4320107;RS;Sarandi;25024;>10k;
2901106;BA;Amélia Rodrigues;24997;>10k;
3521408;SP;Iracemápolis;24982;>10k;
4320909;RS;Tapejara;24973;>10k;
2507002;PB;Itaporanga;24960;>10k;
2307403;CE;Jucás;24949;>10k;
4206306;SC;Guabiruba;24922;>10k;
2906709;BA;Cândido Sales;24921;>10k;
3507902;SP;Brotas;24862;>10k;
3147402;MG;Paraopeba;24854;>10k;
5002100;MS;Bela Vista;24842;>10k;
3520004;SP;Igaraçu do Tietê;24821;>10k;
2603702;PE;Canhotinho;24743;>10k;
2704005;AL;Junqueiro;24716;>10k;
2304350;CE;Forquilha;24680;>10k;
2703205;AL;Igreja Nova;24670;>10k;
2705101;AL;Matriz de Camaragibe;24627;>10k;
4318408;RS;São Jerônimo;24569;>10k;
2301703;CE;Aurora;24567;>10k;
1507458;PA;São Geraldo do Araguaia;24566;>10k;
5217104;GO;Piracanjuba;24543;>10k;
4216909;SC;São Lourenço do Oeste;24501;>10k;
3162955;MG;São José da Lapa;24490;>10k;
2306108;CE;Irauçuba;24450;>10k;
2411502;RN;Santo Antônio;24422;>10k;
2702355;AL;Craíbas;24396;>10k;
1506302;PA;Salvaterra;24392;>10k;
4212809;SC;Balneário Piçarras;24385;>10k;
2506905;PB;Itabaiana;24363;>10k;
1502004;PA;Cachoeira do Arari;24355;>10k;
3148707;MG;Pedra Azul;24333;>10k;
2706406;AL;Pão de Açúcar;24307;>10k;
2109007;MA;Porto Franco;24294;>10k;
4105904;PR;Colorado;24271;>10k;
2512903;PB;Rio Tinto;24258;>10k;
4120804;PR;Quatro Barras;24253;>10k;
3143401;MG;Monte Sião;24247;>10k;
2605004;PE;Cupira;24237;>10k;
4104659;PR;Carambeí;24225;>10k;
2918803;BA;Laje;24214;>10k;
4322202;RS;Tupanciretã;24182;>10k;
1502509;PA;Chaves;24175;>10k;
2703809;AL;Joaquim Gomes;24167;>10k;
2102804;MA;Carolina;24151;>10k;
1304401;AM;Urucurituba;24098;>10k;
2102903;MA;Carutapera;24095;>10k;
3502705;SP;Apiaí;24081;>10k;
4205704;SC;Garopaba;24070;>10k;
2708303;AL;São José da Laje;24064;>10k;
5005202;MS;Ladário;24040;>10k;
2607000;PE;Inajá;24034;>10k;
3130903;MG;Inhapim;24020;>10k;
2805505;SE;Poço Verde;24003;>10k;
2102309;MA;Buriti Bravo;23993;>10k;
2932002;BA;Uauá;23991;>10k;
2609709;PE;Orobó;23985;>10k;
3105103;MG;Bambuí;23964;>10k;
2911907;BA;Iaçu;23950;>10k;
4124053;PR;Santa Terezinha de Itaipu;23927;>10k;
4215703;SC;Santo Amaro da Imperatriz;23907;>10k;
3113008;MG;Caraí;23872;>10k;
3204609;ES;Santa Teresa;23853;>10k;
2614857;PE;Tamandaré;23852;>10k;
5210901;GO;Itapaci;23850;>10k;
4321808;RS;Três de Maio;23846;>10k;
4321907;RS;Três Passos;23799;>10k;
3162708;MG;São João do Paraíso;23797;>10k;
2412500;RN;São Miguel;23789;>10k;
2512309;PB;Princesa Isabel;23749;>10k;
3548005;SP;Santo Antônio de Posse;23742;>10k;
4310330;RS;Imbé;23721;>10k;
2611903;PE;Rio Formoso;23719;>10k;
2105500;MA;João Lisboa;23677;>10k;
3154002;MG;Raul Soares;23663;>10k;
5001904;MS;Bataguassu;23620;>10k;
3119104;MG;Corinto;23607;>10k;
2106508;MA;Matinha;23591;>10k;
3301405;RJ;Conceição de Macabu;23561;>10k;
2903409;BA;Belmonte;23540;>10k;
2301604;CE;Assaré;23537;>10k;
2108454;MA;Peritoró;23530;>10k;
4319604;RS;São Sepé;23492;>10k;
1200450;AC;Senador Guiomard;23446;>10k;
1507474;PA;São João de Pirabas;23440;>10k;
2912707;BA;Ibirapitanga;23433;>10k;
3204005;ES;Pancas;23426;>10k;
2905008;BA;Caculé;23407;>10k;
3554300;SP;Teodoro Sampaio;23395;>10k;
2103802;MA;Dom Pedro;23393;>10k;
4113502;PR;Loanda;23393;>10k;
4114104;PR;Mandaguaçu;23373;>10k;
3502754;SP;Araçariguama;23343;>10k;
2304004;CE;Coreaú;23340;>10k;
3553807;SP;Taquarituba;23292;>10k;
5004700;MS;Ivinhema;23277;>10k;
2930774;BA;Sobradinho;23274;>10k;
3100203;MG;Abaeté;23263;>10k;
3553302;SP;Tambaú;23255;>10k;
5106307;MT;Paranatinga;23250;>10k;
4203907;SC;Capinzal;23218;>10k;
3302106;RJ;Itaocara;23211;>10k;
3132701;MG;Itambacuri;23207;>10k;
4211702;SC;Orleans;23161;>10k;
1100320;RO;São Miguel do Guaporé;23147;>10k;
5101407;MT;Aripuanã;23067;>10k;
4306809;RS;Encantado;23047;>10k;
2303006;CE;Caridade;23011;>10k;
2613206;PE;São João;23002;>10k;
2600807;PE;Altinho;22996;>10k;
3118403;MG;Conselheiro Pena;22975;>10k;
5006002;MS;Nova Alvorada do Sul;22967;>10k;
2908200;BA;Conceição da Feira;22933;>10k;
1600535;AP;Porto Grande;22927;>10k;
2600906;PE;Amaraji;22910;>10k;
3114204;MG;Carmo do Cajuru;22900;>10k;
3139508;MG;Manhumirim;22894;>10k;
2302008;CE;Barro;22834;>10k;
2308906;CE;Morrinhos;22830;>10k;
1721208;TO;Tocantinópolis;22820;>10k;
4206702;SC;Herval d'Oeste;22820;>10k;
3202108;ES;Ecoporanga;22748;>10k;
2921104;BA;Medeiros Neto;22741;>10k;
1300144;AM;Apuí;22739;>10k;
5008008;MS;Terenos;22721;>10k;
2610806;PE;Pedra;22716;>10k;
2301950;CE;Barreira;22715;>10k;
5200134;GO;Acreúna;22710;>10k;
1707009;TO;Dianópolis;22704;>10k;
2407807;RN;Monte Alegre;22698;>10k;
2925956;BA;Rafael Jambeiro;22643;>10k;
1400209;RR;Caracaraí;22635;>10k;
2605608;PE;Flores;22612;>10k;
4217402;SC;Schroeder;22605;>10k;
2931509;BA;Teofilândia;22590;>10k;
5209705;GO;Hidrolândia;22533;>10k;
4315305;RS;Quaraí;22531;>10k;
5103007;MT;Chapada dos Guimarães;22521;>10k;
1100015;RO;Alta Floresta D'Oeste;22516;>10k;
2900801;BA;Alcobaça;22509;>10k;
2501104;PB;Areia;22493;>10k;
3529708;SP;Miguelópolis;22480;>10k;
2915809;BA;Itambé;22474;>10k;
1600402;AP;Mazagão;22468;>10k;
4213500;SC;Porto Belo;22466;>10k;
2111706;MA;São Vicente Ferrer;22452;>10k;
2916104;BA;Itaparica;22440;>10k;
2311504;CE;Quixeré;22432;>10k;
5205406;GO;Ceres;22407;>10k;
5002209;MS;Bonito;22401;>10k;
2801405;SE;Carira;22393;>10k;
2908903;BA;Coração de Maria;22391;>10k;
3204203;ES;Piúma;22388;>10k;
3202207;ES;Fundão;22379;>10k;
2605400;PE;Feira Nova;22360;>10k;
2922409;BA;Mutuípe;22340;>10k;
2926202;BA;Riachão das Neves;22330;>10k;
3540002;SP;Pompéia;22326;>10k;
3535309;SP;Palmital;22322;>10k;
5103502;MT;Diamantino;22311;>10k;
4100509;PR;Altônia;22293;>10k;
1100403;RO;Alto Paraíso;22258;>10k;
1506583;PA;Santa Maria das Barreiras;22244;>10k;
3540903;SP;Pradópolis;22239;>10k;
2102705;MA;Cantanhede;22236;>10k;
2112233;MA;Trizidela do Vale;22223;>10k;
2313807;CE;Uruburetama;22223;>10k;
2610400;PE;Parnamirim;22198;>10k;
2702603;AL;Feira Grande;22192;>10k;
2906907;BA;Caravelas;22166;>10k;
3301504;RJ;Cordeiro;22152;>10k;
4313060;RS;Nova Hartz;22147;>10k;
2100204;MA;Alcântara;22126;>10k;
5208905;GO;Goiás;22122;>10k;
5201306;GO;Anicuns;22113;>10k;
2609154;PE;Manari;22110;>10k;
5102702;MT;Canarana;22101;>10k;
3517505;SP;Guapiaçu;22087;>10k;
2503001;PB;Caaporã;22079;>10k;
5002902;MS;Cassilândia;22063;>10k;
2103174;MA;Centro Novo do Maranhão;22056;>10k;
3305158;RJ;São José do Vale do Rio Preto;22032;>10k;
3527405;SP;Lucélia;22022;>10k;
2306603;CE;Itatira;22018;>10k;
1300102;AM;Anori;21937;>10k;
2702108;AL;Colônia Leopoldina;21935;>10k;
2604502;PE;Chã Grande;21929;>10k;
2509107;PB;Mari;21895;>10k;
4208104;SC;Itaiópolis;21889;>10k;
3533007;SP;Nova Granada;21871;>10k;
4318200;RS;São Francisco de Paula;21871;>10k;
2613404;PE;São José da Coroa Grande;21868;>10k;
5220207;GO;São Miguel do Araguaia;21849;>10k;
2923407;BA;Palmas de Monte Alto;21840;>10k;
3110509;MG;Camanducaia;21831;>10k;
1506351;PA;Santa Bárbara do Pará;21811;>10k;
2923209;BA;Oliveira dos Brejinhos;21797;>10k;
2800209;SE;Aquidabã;21796;>10k;
4117305;PR;Ortigueira;21783;>10k;
3205036;ES;Vargem Alta;21778;>10k;
2923605;BA;Paramirim;21777;>10k;
3305604;RJ;Silva Jardim;21775;>10k;
2106326;MA;Maracaçumé;21773;>10k;
4208450;SC;Itapoá;21766;>10k;
3133501;MG;Itapecerica;21760;>10k;
4319000;RS;São Marcos;21756;>10k;
2919926;BA;Madre de Deus;21754;>10k;
2211209;PI;Uruçuí;21746;>10k;
4313201;RS;Nova Petrópolis;21717;>10k;
3515152;SP;Engenheiro Coelho;21712;>10k;
1303007;AM;Nhamundá;21710;>10k;
2301307;CE;Araripe;21707;>10k;
5106257;MT;Nova Xavantina;21695;>10k;
3147204;MG;Paraguaçu;21693;>10k;
2705705;AL;Olho d'Água das Flores;21690;>10k;
2408904;RN;Parelhas;21611;>10k;
5004601;MS;Itaquiraí;21604;>10k;
4316006;RS;Rolante;21591;>10k;
3149903;MG;Perdões;21577;>10k;
2107704;MA;Paraibano;21571;>10k;
3115508;MG;Caxambu;21566;>10k;
3511003;SP;Castilho;21521;>10k;
1504950;PA;Nova Esperança do Piriá;21519;>10k;
3143203;MG;Monte Santo de Minas;21504;>10k;
2608503;PE;Lagoa de Itaenga;21490;>10k;
2904100;BA;Boquira;21486;>10k;
4126603;PR;Siqueira Campos;21476;>10k;
5003256;MS;Costa Rica;21456;>10k;
2613305;PE;São Joaquim do Monte;21439;>10k;
2931202;BA;Taperoá;21421;>10k;
4219002;SC;Urussanga;21419;>10k;
2701308;AL;Cajueiro;21397;>10k;
3517703;SP;Guará;21394;>10k;
2904753;BA;Buritirama;21374;>10k;
3513603;SP;Cunha;21373;>10k;
3147303;MG;Paraisópolis;21353;>10k;
5107305;MT;São José do Rio Claro;21351;>10k;
3142809;MG;Monte Alegre de Minas;21349;>10k;
2309508;CE;Orós;21342;>10k;
2202307;PI;Canto do Buriti;21326;>10k;
5220405;GO;São Simão;21318;>10k;
2101905;MA;Bequimão;21317;>10k;
3114402;MG;Carmo do Rio Claro;21310;>10k;
4112108;PR;Jandaia do Sul;21281;>10k;
2108702;MA;Pio XII;21274;>10k;
3510302;SP;Capela do Alto;21257;>10k;
5103304;MT;Comodoro;21249;>10k;
2311264;CE;Quiterianópolis;21246;>10k;
2901205;BA;Anagé;21229;>10k;
2107357;MA;Nova Olinda do Maranhão;21228;>10k;
2501500;PB;Bananeiras;21220;>10k;
2909604;BA;Crisópolis;21219;>10k;
2616209;PE;Vertentes;21172;>10k;
3523503;SP;Itatinga;21139;>10k;
4301008;RS;Arroio do Meio;21121;>10k;
4212908;SC;Pinhalzinho;21103;>10k;
2108108;MA;Paulo Ramos;21092;>10k;
1101492;RO;São Francisco do Guaporé;21088;>10k;
2912103;BA;Ibicaraí;21083;>10k;
2929107;BA;São Felipe;21083;>10k;
3111002;MG;Campestre;21052;>10k;
2106706;MA;Mirador;21045;>10k;
2303600;CE;Catarina;21041;>10k;
3133303;MG;Itaobim;20997;>10k;
3137809;MG;Lambari;20995;>10k;
2500403;PB;Alagoa Nova;20992;>10k;
3105905;MG;Barroso;20981;>10k;
3526001;SP;Junqueirópolis;20978;>10k;
2927507;BA;Santa Bárbara;20971;>10k;
2310852;CE;Pindoretama;20964;>10k;
4302709;RS;Butiá;20963;>10k;
4106605;PR;Cruzeiro do Oeste;20962;>10k;
3505807;SP;Bastos;20952;>10k;
2211308;PI;Valença do Piauí;20940;>10k;
5220603;GO;Silvânia;20938;>10k;
2601052;PE;Araçoiaba;20936;>10k;
3167103;MG;Serro;20915;>10k;
1303700;AM;Santo Antônio do Içá;20889;>10k;
4202453;SC;Bombinhas;20889;>10k;
5200100;GO;Abadiânia;20873;>10k;
1300201;AM;Atalaia do Norte;20868;>10k;
2933505;BA;Wenceslau Guimarães;20862;>10k;
3547700;SP;Santo Anastácio;20855;>10k;
5106232;MT;Nova Olímpia;20820;>10k;
4128005;PR;Ubiratã;20809;>10k;
2911600;BA;Governador Mangabeira;20800;>10k;
5205513;GO;Cocalzinho de Goiás;20771;>10k;
1301506;AM;Envira;20748;>10k;
2611705;PE;Riacho das Almas;20744;>10k;
4314605;RS;Piratini;20743;>10k;
1503044;PA;Floresta do Araguaia;20742;>10k;
2111003;MA;São João Batista;20736;>10k;
2601607;PE;Belém do São Francisco;20730;>10k;
2210003;PI;São João do Piauí;20720;>10k;
5103379;MT;Cotriguaçu;20717;>10k;
3141405;MG;Medina;20701;>10k;
3171006;MG;Vazante;20692;>10k;
4127502;PR;Tibagi;20688;>10k;
3134608;MG;Jaboticatubas;20683;>10k;
2920700;BA;Maraú;20664;>10k;
2306504;CE;Itapiúna;20653;>10k;
2603108;PE;Cachoeirinha;20618;>10k;
2501005;PB;Araruna;20610;>10k;
2900207;BA;Abaré;20594;>10k;
2402303;RN;Caraúbas;20588;>10k;
3535804;SP;Paranapanema;20588;>10k;
2207801;PI;Paulistana;20583;>10k;
5101902;MT;Brasnorte;20571;>10k;
2911808;BA;Guaratinga;20565;>10k;
4208807;SC;Jaguaruna;20547;>10k;
3142908;MG;Monte Azul;20544;>10k;
3542404;SP;Regente Feijó;20523;>10k;
3144102;MG;Muzambinho;20522;>10k;
1100148;RO;Nova Brasilândia D'Oeste;20504;>10k;
1300631;AM;Beruri;20503;>10k;
4310009;RS;Ibirubá;20474;>10k;
2902609;BA;Baixa Grande;20431;>10k;
4106506;PR;Coronel Vivida;20430;>10k;
5201702;GO;Aragarças;20410;>10k;
2514503;PB;São José de Piranhas;20406;>10k;
1303205;AM;Novo Airão;20395;>10k;
2917102;BA;Itororó;20394;>10k;
3511409;SP;Cerqueira César;20391;>10k;
2931004;BA;Tanhaçu;20383;>10k;
2102606;MA;Cândido Mendes;20376;>10k;
4124400;PR;Santo Antônio do Sudoeste;20354;>10k;
2307254;CE;Jijoca de Jericoacoara;20351;>10k;
3146305;MG;Padre Paraíso;20346;>10k;
2505105;PB;Cuité;20331;>10k;
2932705;BA;Uruçuca;20312;>10k;
2915502;BA;Itajuípe;20309;>10k;
2109502;MA;Riachão;20288;>10k;
2303956;CE;Chorozinho;20286;>10k;
3169703;MG;Turmalina;20280;>10k;
2700102;AL;Água Branca;20263;>10k;
3304110;RJ;Porto Real;20254;>10k;
2106300;MA;Magalhães de Almeida;20228;>10k;
2902807;BA;Barra da Estiva;20198;>10k;
2305357;CE;Icapuí;20183;>10k;
3301108;RJ;Cantagalo;20163;>10k;
2709103;AL;Taquarana;20162;>10k;
2707503;AL;Porto Real do Colégio;20158;>10k;
5007935;MS;Sonora;20158;>10k;
1200385;AC;Plácido de Castro;20147;>10k;
3131208;MG;Ipanema;20133;>10k;
2305209;CE;Hidrolândia;20126;>10k;
5204904;GO;Campos Belos;20124;>10k;
1400456;RR;Pacaraima;20108;>10k;
3101904;MG;Alpinópolis;20059;>10k;
2806206;SE;Salgado;20051;>10k;
3508009;SP;Buri;20050;>10k;
2603801;PE;Capoeiras;20048;>10k;
2924603;BA;Pindobaçu;20048;>10k;
1300680;AM;Boa Vista do Ramos;20040;>10k;
2307635;CE;Madalena;20031;>10k;
5007406;MS;Rio Verde de Mato Grosso;20025;>10k;
3122009;MG;Divino;20020;>10k;
5218904;GO;Rubiataba;20012;>10k;
3159803;MG;Santa Vitória;19997;>10k;
2912202;BA;Ibicoara;19990;>10k;
2600203;PE;Afrânio;19981;>10k;
2313757;CE;Umirim;19976;>10k;
2512705;PB;Remígio;19973;>10k;
2920502;BA;Maracás;19973;>10k;
2916807;BA;Itarantim;19937;>10k;
2704401;AL;Major Isidoro;19923;>10k;
3137700;MG;Lajinha;19914;>10k;
1200708;AC;Xapuri;19866;>10k;
2500601;PB;Alhandra;19865;>10k;
2932101;BA;Ubaíra;19860;>10k;
2107605;MA;Palmeirândia;19840;>10k;
1506559;PA;Santa Luzia do Pará;19839;>10k;
3167608;MG;Simonésia;19834;>10k;
2202000;PI;Buriti dos Lopes;19832;>10k;
4101101;PR;Andirá;19823;>10k;
2805802;SE;Riachão do Dantas;19813;>10k;
3108305;MG;Borda da Mata;19809;>10k;
3536208;SP;Pariquera-Açu;19797;>10k;
1200427;AC;Rodrigues Alves;19767;>10k;
3111101;MG;Campina Verde;19759;>10k;
3114501;MG;Carmópolis de Minas;19756;>10k;
1200351;AC;Marechal Thaumaturgo;19727;>10k;
2202604;PI;Castelo do Piauí;19716;>10k;
5100300;MT;Alto Araguaia;19714;>10k;
2107100;MA;Morros;19708;>10k;
2108009;MA;Pastos Bons;19693;>10k;
3153400;MG;Presidente Olegário;19680;>10k;
2603900;PE;Carnaíba;19666;>10k;
2901601;BA;Antas;19659;>10k;
1200336;AC;Mâncio Lima;19643;>10k;
1303502;AM;Pauini;19616;>10k;
2107407;MA;Olho d'Água das Cunhãs;19616;>10k;
2932457;BA;Umburanas;19573;>10k;
2313351;CE;Tejuçuoca;19551;>10k;
2102507;MA;Cajari;19521;>10k;
4212205;SC;Papanduva;19521;>10k;
3529906;SP;Miracatu;19511;>10k;
2511905;PB;Pitimbu;19478;>10k;
4101002;PR;Ampére;19466;>10k;
4218301;SC;Três Barras;19455;>10k;
3539103;SP;Pirapora do Bom Jesus;19453;>10k;
4309605;RS;Horizontina;19446;>10k;
4126306;PR;Sengés;19441;>10k;
2104099;MA;Formosa da Serra Negra;19425;>10k;
3204351;ES;Rio Bananal;19398;>10k;
4121208;PR;Quitandinha;19388;>10k;
4128500;PR;Wenceslau Braz;19358;>10k;
1508050;PA;Trairão;19344;>10k;
2304301;CE;Farias Brito;19330;>10k;
2932804;BA;Utinga;19330;>10k;
5204409;GO;Caiapônia;19304;>10k;
3170909;MG;Varzelândia;19290;>10k;
3100906;MG;Águas Formosas;19285;>10k;
2606507;PE;Iati;19284;>10k;
1400175;RR;Cantá;19257;>10k;
1100080;RO;Costa Marques;19255;>10k;
2107902;MA;Passagem Franca;19253;>10k;
3104908;MG;Baependi;19249;>10k;
2605152;PE;Dormentes;19246;>10k;
3518503;SP;Guareí;19244;>10k;
4206900;SC;Ibirama;19238;>10k;
2205201;PI;Jaicós;19233;>10k;
2916005;BA;Itanhém;19231;>10k;
2614006;PE;Serrita;19226;>10k;
2109270;MA;Presidente Sarney;19217;>10k;
4211751;SC;Otacílio Costa;19201;>10k;
4104501;PR;Capanema;19172;>10k;
2917805;BA;Jaguaripe;19162;>10k;
3301207;RJ;Carmo;19161;>10k;
4311205;RS;Júlio de Castilhos;19159;>10k;
5003801;MS;Fátima do Sul;19152;>10k;
1200807;AC;Porto Acre;19141;>10k;
3556800;SP;Viradouro;19133;>10k;
3140902;MG;Matipó;19098;>10k;
2917201;BA;Ituaçu;19095;>10k;
2111607;MA;São Raimundo das Mangabeiras;19090;>10k;
4105409;PR;Chopinzinho;19083;>10k;
4106209;PR;Contenda;19082;>10k;
2501302;PB;Aroeiras;19081;>10k;
3304102;RJ;Porciúncula;19068;>10k;
2803302;SE;Japaratuba;19067;>10k;
1507979;PA;Terra Santa;19063;>10k;
2919702;BA;Macarani;19056;>10k;
1304237;AM;Tonantins;19038;>10k;
2603504;PE;Camocim de São Félix;19032;>10k;
3508702;SP;Caconde;19031;>10k;
2504405;PB;Conceição;19030;>10k;
2101509;MA;Barão de Grajaú;19026;>10k;
3124005;MG;Ervália;19019;>10k;
3128303;MG;Guaranésia;19014;>10k;
2904852;BA;Cabaceiras do Paraguaçu;19010;>10k;
1200252;AC;Epitaciolândia;18979;>10k;
2507101;PB;Itapororoca;18978;>10k;
3203502;ES;Montanha;18954;>10k;
3531506;SP;Monte Azul Paulista;18928;>10k;
3131158;MG;Ipaba;18926;>10k;
4101200;PR;Antonina;18919;>10k;
3500501;SP;Águas de Lindóia;18908;>10k;
3501152;SP;Alumínio;18903;>10k;
2806008;SE;Ribeirópolis;18891;>10k;
1702554;TO;Augustinópolis;18870;>10k;
3127008;MG;Fronteira;18866;>10k;
3532405;SP;Nazaré Paulista;18866;>10k;
2512002;PB;Pocinhos;18848;>10k;
2616001;PE;Venturosa;18835;>10k;
2908101;BA;Cocos;18835;>10k;
2800506;SE;Areia Branca;18825;>10k;
4205803;SC;Garuva;18816;>10k;
2108801;MA;Pirapemas;18814;>10k;
5107107;MT;São José dos Quatro Marcos;18788;>10k;
2929255;BA;São Gabriel;18785;>10k;
4103453;PR;Cafelândia;18783;>10k;
4106803;PR;Cruz Machado;18772;>10k;
2110401;MA;São Benedito do Rio Preto;18769;>10k;
2111078;MA;São João do Soter;18746;>10k;
2104552;MA;Governador Edison Lobão;18740;>10k;
2511400;PB;Picuí;18737;>10k;
2101301;MA;Bacuri;18726;>10k;
2303303;CE;Cariús;18700;>10k;
3159902;MG;Santo Antônio do Amparo;18697;>10k;
2804409;SE;Neópolis;18688;>10k;
3302809;RJ;Mendes;18681;>10k;
3304409;RJ;Rio Claro;18677;>10k;
2905404;BA;Cairu;18666;>10k;
2932200;BA;Ubaitaba;18647;>10k;
3526100;SP;Juquiá;18627;>10k;
3523602;SP;Itirapina;18610;>10k;
2921401;BA;Mirangaba;18603;>10k;
3512001;SP;Colina;18601;>10k;
2111409;MA;São Luís Gonzaga do Maranhão;18600;>10k;
3511607;SP;Cesário Lange;18595;>10k;
2905305;BA;Cafarnaum;18585;>10k;
5005681;MS;Mundo Novo;18578;>10k;
4217808;SC;Taió;18576;>10k;
3139201;MG;Malacacheta;18556;>10k;
2920106;BA;Mairi;18535;>10k;
2313955;CE;Varjota;18520;>10k;
3113701;MG;Carlos Chagas;18516;>10k;
2208205;PI;Pio IX;18492;>10k;
2903805;BA;Boa Vista do Tupim;18491;>10k;
1400308;RR;Mucajaí;18482;>10k;
2303105;CE;Cariré;18470;>10k;
2700706;AL;Batalha;18440;>10k;
2608453;PE;Lagoa do Carro;18429;>10k;
2507705;PB;Juazeirinho;18422;>10k;
2912400;BA;Ibipeba;18421;>10k;
3530201;SP;Mirante do Paranapanema;18415;>10k;
2703304;AL;Inhapi;18398;>10k;
2313005;CE;Solonópole;18389;>10k;
5107065;MT;Querência;18386;>10k;
1708205;TO;Formoso do Araguaia;18358;>10k;
2802809;SE;Indiaroba;18337;>10k;
2406106;RN;Jucurutu;18335;>10k;
2604700;PE;Correntes;18327;>10k;
2801009;SE;Campo do Brito;18325;>10k;
2301851;CE;Banabuiú;18313;>10k;
2702553;AL;Estrela de Alagoas;18304;>10k;
3535606;SP;Paraibuna;18302;>10k;
1302801;AM;Maraã;18298;>10k;
3138807;MG;Luz;18297;>10k;
2311702;CE;Reriutaba;18279;>10k;
3137007;MG;Ladainha;18272;>10k;
3305406;RJ;Sapucaia;18270;>10k;
2904704;BA;Buerarema;18269;>10k;
4115606;PR;Matelândia;18266;>10k;
5212204;GO;Jussara;18266;>10k;
2111805;MA;Sítio Novo;18237;>10k;
1600709;AP;Tartarugalzinho;18217;>10k;
1506161;PA;Rio Maria;18208;>10k;
1507102;PA;São Caetano de Odivelas;18207;>10k;
2304236;CE;Croatá;18201;>10k;
2705200;AL;Messias;18201;>10k;
4301305;RS;Arroio Grande;18185;>10k;
2506806;PB;Ingá;18184;>10k;
2801702;SE;Cristinápolis;18181;>10k;
